id,Season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,winner
5,IPL-2017,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,15,0,KM Jadhav,Royal Challengers Bangalore
12,IPL-2017,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,4,KA Pollard,Mumbai Indians
17,IPL-2017,Bangalore,Rising Pune Supergiant,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,27,0,BA Stokes,Rising Pune Supergiant
30,IPL-2017,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,0,7,AJ Tye,Gujarat Lions
42,IPL-2017,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,19,0,Sandeep Sharma,Kings XI Punjab
45,IPL-2017,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,6,SP Narine,Kolkata Knight Riders
57,IPL-2017,Bangalore,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,1,0,7,NM Coulter-Nile,Kolkata Knight Riders
58,IPL-2017,Bangalore,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,KV Sharma,Mumbai Indians
60,IPL-2008,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,140,0,BB McCullum,Kolkata Knight Riders
70,IPL-2008,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,0,7,SR Watson,Rajasthan Royals
74,IPL-2008,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,normal,0,13,0,MS Dhoni,Chennai Super Kings
84,IPL-2008,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,6,S Sreesanth,Kings XI Punjab
90,IPL-2008,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,CRD Fernando,Mumbai Indians
104,IPL-2008,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,SP Goswami,Delhi Daredevils
111,IPL-2008,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,3,0,P Kumar,Royal Challengers Bangalore
181,IPL-2010,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,bat,normal,0,0,8,JH Kallis,Royal Challengers Bangalore
184,IPL-2010,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,10,JH Kallis,Royal Challengers Bangalore
192,IPL-2010,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,36,0,RV Uthappa,Royal Challengers Bangalore
197,IPL-2010,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,17,0,KM Jadhav,Delhi Daredevils
214,IPL-2010,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,field,normal,0,0,7,TL Suman,Deccan Chargers
217,IPL-2010,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,R Vinay Kumar,Royal Challengers Bangalore
226,IPL-2010,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,57,0,R McLaren,Mumbai Indians
242,IPL-2011,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,9,SR Tendulkar,Mumbai Indians
268,IPL-2011,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,26,0,V Kohli,Royal Challengers Bangalore
280,IPL-2011,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,85,0,CH Gayle,Royal Challengers Bangalore
283,IPL-2011,Bangalore,Kochi Tuskers Kerala,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,normal,0,0,9,CH Gayle,Royal Challengers Bangalore
291,IPL-2011,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,1,0,4,CH Gayle,Royal Challengers Bangalore
302,IPL-2011,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,8,CH Gayle,Royal Challengers Bangalore
312,IPL-2012,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,20,0,AB de Villiers,Royal Challengers Bangalore
317,IPL-2012,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,42,0,L Balaji,Kolkata Knight Riders
326,IPL-2012,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,bat,normal,0,59,0,AM Rahane,Rajasthan Royals
329,IPL-2012,Bangalore,Pune Warriors,Royal Challengers Bangalore,Pune Warriors,bat,normal,0,0,6,CH Gayle,Royal Challengers Bangalore
350,IPL-2012,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,4,Azhar Mahmood,Kings XI Punjab
356,IPL-2012,Bangalore,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,5,AB de Villiers,Royal Challengers Bangalore
367,IPL-2012,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,5,AT Rayudu,Mumbai Indians
379,IPL-2012,Bangalore,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,normal,0,38,0,MS Dhoni,Chennai Super Kings
383,IPL-2013,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,2,0,CH Gayle,Royal Challengers Bangalore
392,IPL-2013,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,8,CH Gayle,Royal Challengers Bangalore
401,IPL-2013,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,tie,0,0,0,V Kohli,Royal Challengers Bangalore
407,IPL-2013,Bangalore,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,R Vinay Kumar,Royal Challengers Bangalore
411,IPL-2013,Bangalore,Royal Challengers Bangalore,Pune Warriors,Pune Warriors,field,normal,0,130,0,CH Gayle,Royal Challengers Bangalore
429,IPL-2013,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,0,7,AC Gilchrist,Kings XI Punjab
432,IPL-2013,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,0,7,V Kohli,Royal Challengers Bangalore
452,IPL-2013,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,24,0,V Kohli,Royal Challengers Bangalore
481,IPL-2014,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,4,AB de Villiers,Royal Challengers Bangalore
488,IPL-2014,Bangalore,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,32,0,Sandeep Sharma,Kings XI Punjab
492,IPL-2014,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore,bat,normal,0,0,5,JP Faulkner,Rajasthan Royals
495,IPL-2014,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,16,0,Yuvraj Singh,Royal Challengers Bangalore
510,IPL-2014,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,8,MS Dhoni,Chennai Super Kings
517,IPL-2014,Bangalore,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,3,MK Pandey,Kolkata Knight Riders
525,IPL-2015,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,0,8,DA Warner,Sunrisers Hyderabad
534,IPL-2015,Bangalore,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,18,0,Harbhajan Singh,Mumbai Indians
538,IPL-2015,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,27,0,SK Raina,Chennai Super Kings
546,IPL-2015,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,no result,0,0,0,,
550,IPL-2015,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,Mandeep Singh,Royal Challengers Bangalore
557,IPL-2015,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,0,138,0,CH Gayle,Royal Challengers Bangalore
571,IPL-2015,Bangalore,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,no result,0,0,0,,
580,IPL-2016,Bangalore,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,45,0,AB de Villiers,Royal Challengers Bangalore
587,IPL-2016,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,Q de Kock,Delhi Daredevils
606,IPL-2016,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,0,5,AD Russell,Kolkata Knight Riders
611,IPL-2016,Bangalore,Rising Pune Supergiants,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,7,V Kohli,Royal Challengers Bangalore
617,IPL-2016,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians,field,normal,0,0,6,KH Pandya,Mumbai Indians
620,IPL-2016,Bangalore,Royal Challengers Bangalore,Gujarat Lions,Gujarat Lions,field,normal,0,144,0,AB de Villiers,Royal Challengers Bangalore
626,IPL-2016,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,normal,1,82,0,V Kohli,Royal Challengers Bangalore
633,IPL-2016,Bangalore,Gujarat Lions,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,0,4,AB de Villiers,Royal Challengers Bangalore
636,IPL-2016,Bangalore,Sunrisers Hyderabad,Royal Challengers Bangalore,Sunrisers Hyderabad,bat,normal,0,8,0,BCJ Cutting,Sunrisers Hyderabad
