id,Season,city,team1,team2,toss_winner,toss_decision,result,dl_applied,win_by_runs,win_by_wickets,player_of_match,winner
15,IPL-2017,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,0,51,0,CJ Anderson,Delhi Daredevils
18,IPL-2017,Delhi,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,normal,0,0,4,NM Coulter-Nile,Kolkata Knight Riders
39,IPL-2017,Delhi,Sunrisers Hyderabad,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,6,Mohammed Shami,Delhi Daredevils
41,IPL-2017,Delhi,Gujarat Lions,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,7,RR Pant,Delhi Daredevils
44,IPL-2017,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,146,0,LMP Simmons,Mumbai Indians
51,IPL-2017,Delhi,Delhi Daredevils,Rising Pune Supergiant,Delhi Daredevils,bat,normal,0,7,0,KK Nair,Delhi Daredevils
55,IPL-2017,Delhi,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,normal,0,10,0,HV Patel,Royal Challengers Bangalore
62,IPL-2008,Delhi,Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,bat,normal,0,0,9,MF Maharoof,Delhi Daredevils
76,IPL-2008,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,10,0,GD McGrath,Delhi Daredevils
87,IPL-2008,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,field,normal,0,0,4,MS Dhoni,Chennai Super Kings
98,IPL-2008,Delhi,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,normal,0,12,0,A Mishra,
100,IPL-2008,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,normal,1,6,0,DPMD Jayawardene,Kings XI Punjab
109,IPL-2008,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,0,5,KD Karthik,Delhi Daredevils
183,IPL-2010,Delhi,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,field,normal,0,98,0,SR Tendulkar,Mumbai Indians
185,IPL-2010,Delhi,Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,bat,normal,0,0,5,ML Hayden,Chennai Super Kings
